Community,County,per,% Valuation,Rate,Equalizer
Roscoe,Winnebago,$100.00,33.30%,8.15%,1
Roselle,Dupage,$100.00,33.30%,5.74%,1.059
Rosiclare,Hardin,$100.00,33.30%,8.62%,1
Rossville,Vermilion,$100.00,33.30%,9.39%,1
Round Lake,Lake,$100.00,33.30%,9.61%,1.0199
Round Lake Park,Lake,$100.00,33.30%,9.22%,1.0199
Roxana,Madison,$100.00,33.30%,8.06%,1
Royal Lakes,Macoupin,$100.00,33.30%,8.50%,1
Royalton,Franklin,$100.00,33.30%,7.37%,1
Rushville,Schuyler,$100.00,33.30%,9.98%,1
Saint Charles,Kane,$100.00,33.30%,6.64%,1
Salem,Marion,$100.00,33.30%,8.50%,1
Sandoval,Marion,$100.00,33.30%,10.72%,1
Sandwich,Dekalb,$100.00,33.30%,6.69%,1
Sauk Village,Cook,$100.00,10.00%,10.24%,2.9706
Savanna,Carroll,$100.00,33.30%,9.81%,1
Scales Mound,Jo Daviess,$100.00,33.30%,6.00%,1
Schaumburg,Cook,$100.00,10.00%,7.71%,2.9706
Schiller Park,Cook,$100.00,10.00%,7.41%,2.9706
Schram City,Montgomery,$100.00,33.30%,6.60%,1
Scottville,Macoupin,$100.00,33.30%,8.04%,1
Seaton,Mercer,$100.00,33.30%,8.55%,1
Seneca,Lasalle,$100.00,33.30%,6.64%,1
Sesser,Franklin,$100.00,33.30%,9.80%,1
Shabbona,Dekalb,$100.00,33.30%,7.65%,1
Shannon,Carroll,$100.00,33.30%,7.65%,1
Shawneetown,Gallatin,$100.00,33.30%,4.07%,1
Shelbyville,Shelby,$100.00,33.30%,8.53%,1
Sheldon,Iroquois,$100.00,33.30%,10.90%,1
Sherman,Sangamon,$100.00,33.30%,6.80%,1
Shorewood,Will,$100.00,33.30%,7.91%,1
Silvis,Rock Island,$100.00,33.30%,9.45%,1
Skokie,Cook,$100.00,10.00%,6.27%,2.9706
Somonauk,Dekalb,$100.00,33.30%,7.98%,1
South Beloit,Winnebago,$100.00,33.30%,8.52%,1
South Chicago Heights,Cook,$100.00,10.00%,9.18%,2.9706
South Elgin,Kane,$100.00,33.30%,8.47%,1
South Holland,Cook,$100.00,10.00%,11.33%,2.9706
South Roxana,Madison,$100.00,33.30%,7.97%,1
South Wilmington,Grundy,$100.00,33.30%,7.19%,1
Sparta,Randolph,$100.00,33.30%,7.76%,1
Spring Grove,Mchenry,$100.00,33.30%,7.69%,1
Spring Valley,Bureau,$100.00,33.30%,8.94%,1
Springerton,White,$100.00,33.30%,7.37%,1
Springfield,Sangamon,$100.00,33.30%,7.75%,1
Stanford,Mclean,$100.00,33.30%,9.75%,1
Staunton,Macoupin,$100.00,33.30%,5.81%,1
Steeleville,Randolph,$100.00,33.30%,5.99%,1
Sterling,Whiteside,$100.00,33.30%,8.89%,1
Steward,Lee,$100.00,33.30%,8.33%,1
Stickney,Cook,$100.00,10.00%,9.29%,2.9706
Stillman Valley,Ogle,$100.00,33.30%,8.38%,1
Stockton,Jo Daviess,$100.00,33.30%,7.46%,1
Stonington,Christian,$100.00,33.30%,7.17%,1
Streamwood,Cook,$100.00,10.00%,7.33%,2.9706
Streator,Lasalle,$100.00,33.30%,11.47%,1
Stronghurst,Henderson,$100.00,33.30%,7.50%,1
Sublette,Lee,$100.00,33.30%,6.83%,1
Sugar Grove,Kane,$100.00,33.30%,8.06%,1
Sullivan,Moultrie,$100.00,33.30%,8.93%,1
Summit,Cook,$100.00,10.00%,11.30%,2.9706
Swansea,St,$100.00,33.30%,7.35%,1
Sycamore,Dekalb,$100.00,33.30%,8.39%,1
Tamms,Alexander,$100.00,33.30%,8.10%,1
Taylorville,Christian,$100.00,33.30%,7.50%,1
Thebes,Alexander,$100.00,33.30%,7.17%,1
Thomasboro,Champaign,$100.00,33.30%,8.22%,1
Thomson,Carroll,$100.00,33.30%,7.47%,1
Thornton,Cook,$100.00,10.00%,10.25%,2.9706
Tilton,Vermilion,$100.00,33.30%,8.35%,1
Toledo,Cumberland,$100.00,33.30%,8.79%,1
Tonica,Lasalle,$100.00,33.30%,8.16%,1
Tremont,Tazewell,$100.00,33.30%,6.59%,1
Trenton,Clinton,$100.00,33.30%,7.35%,1
Troy,Madison,$100.00,33.30%,7.42%,1
Tuscola,Douglas,$100.00,33.30%,7.57%,1
Ullin,Pulaski,$100.00,33.30%,9.31%,1
Union,Mchenry,$100.00,33.30%,6.87%,1
University Park,Will,$100.00,33.30%,10.73%,1
Urbana,Champaign,$100.00,33.30%,8.49%,1
Vandalia,Fayette,$100.00,33.30%,9.48%,1
Vermont,Fulton,$100.00,33.30%,11.14%,1
Vernon Hills,Lake,$100.00,33.30%,7.59%,1.0199
Verona,Grundy,$100.00,33.30%,7.78%,1
Versailles,Brown,$100.00,33.30%,8.16%,1
Vienna,Johnson,$100.00,33.30%,8.30%,1
Villa Grove,Douglas,$100.00,33.30%,8.10%,1
Villa Park,Dupage,$100.00,33.30%,6.30%,1.059
Viola,Mercer,$100.00,33.30%,8.91%,1
Virden,Macoupin,$100.00,33.30%,7.66%,1
Virginia,Cass,$100.00,33.30%,10.45%,1
Warren,Jo Daviess,$100.00,33.30%,9.10%,1
Warrenville,Dupage,$100.00,33.30%,6.05%,1.059
Warsaw,Hancock,$100.00,33.30%,8.57%,1
Waterloo,Monroe,$100.00,33.30%,6.07%,1
Waterman,Dekalb,$100.00,33.30%,7.62%,1
Watseka,Iroquois,$100.00,33.30%,10.42%,1
Wenona,Marshall,$100.00,33.30%,11.32%,1
West Dundee,Kane,$100.00,33.30%,7.43%,1
West Peoria,Peoria,$100.00,33.30%,8.15%,1
West Salem,Edwards,$100.00,33.30%,10.12%,1
Westville,Vermilion,$100.00,33.30%,8.53%,1
Wheeling,Cook,$100.00,10.00%,7.46%,2.9706
White City,Macoupin,$100.00,33.30%,7.30%,1
White Hall,Greene,$100.00,33.30%,7.53%,1
Williamsville,Sangamon,$100.00,33.30%,7.44%,1
Willowbrook,Dupage,$100.00,33.30%,4.01%,1.059
Windsor,Shelby,$100.00,33.30%,7.89%,1
Winfield,Dupage,$100.00,33.30%,6.83%,1.059
Winslow,Stephenson,$100.00,33.30%,9.92%,1
Winthrop Harbor,Lake,$100.00,33.30%,8.02%,1.0199
Woodhull,Henry,$100.00,33.30%,8.95%,1
Woodridge,Dupage,$100.00,33.30%,6.93%,1.059
Woodstock,Mchenry,$100.00,33.30%,7.60%,1
Zeigler,Franklin,$100.00,33.30%,8.94%,1
Zion,Lake,$100.00,33.30%,10.93%,1.0199
